date,feature_id,feature_name,product_area,device_family,service_tier,customer_segment,active_accounts,sessions,qualified_starts,avg_watch_minutes,conversion_rate,day7_retention_rate,search_success_rate,playback_start_ms,rebuffer_rate,crash_rate,satisfaction_proxy,data_quality_score
2026-01-01,F001,Continue Watching Rail,Home,Connected TV,SVOD,Returning binge viewers,10064,20522,8976,43.49,0.2864,0.3224,0.7889,703,0.0096,0.0036,79.6,94.8
2026-01-01,F001,Continue Watching Rail,Home,Connected TV,SVOD,New trial households,9929,20246,10668,23.05,0.1704,0.1839,0.7367,865,0.0111,0.0034,71.0,94.5
2026-01-01,F001,Continue Watching Rail,Home,Connected TV,SVOD,Sports event viewers,12359,26441,16229,35.43,0.2066,0.2628,0.6942,859,0.0125,0.001,73.9,94.4
2026-01-01,F001,Continue Watching Rail,Home,Connected TV,SVOD,Kids co-viewing households,9747,12518,7030,26.47,0.2034,0.3079,0.7903,974,0.0157,0.0031,70.5,97.4
2026-01-01,F001,Continue Watching Rail,Home,Connected TV,SVOD,Ad-supported explorers,9750,19544,8879,28.6,0.1361,0.1961,0.7162,920,0.0161,0.0027,69.4,95.3
2026-01-01,F002,Personalized Top Picks,Home,Connected TV,SVOD,Returning binge viewers,9684,23249,13196,43.58,0.2729,0.3407,0.7529,859,0.0111,0.0022,77.6,95.9
2026-01-01,F002,Personalized Top Picks,Home,Connected TV,SVOD,New trial households,10925,13745,9823,20.28,0.1978,0.2163,0.7741,826,0.0145,0.0047,70.8,94.8
2026-01-01,F002,Personalized Top Picks,Home,Connected TV,SVOD,Sports event viewers,12277,23271,16619,34.14,0.2324,0.2547,0.8029,809,0.0164,0.0044,74.0,95.5
2026-01-01,F002,Personalized Top Picks,Home,Connected TV,SVOD,Kids co-viewing households,10724,17732,10609,25.65,0.1947,0.2834,0.7451,805,0.0151,0.0018,71.8,97.3
2026-01-01,F002,Personalized Top Picks,Home,Connected TV,SVOD,Ad-supported explorers,10688,21380,12920,22.22,0.174,0.1811,0.7596,728,0.0173,0.0024,70.7,96.8
2026-01-01,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Returning binge viewers,6000,9619,5135,46.11,0.2511,0.3627,0.78,662,0.0144,0.0047,78.4,94.7
2026-01-01,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,New trial households,5729,12856,8638,24.94,0.1783,0.1988,0.7707,596,0.0143,0.0036,73.1,96.9
2026-01-01,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Sports event viewers,6676,10353,6930,37.68,0.2033,0.2557,0.7169,726,0.0166,0.0049,74.5,94.5
2026-01-01,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Kids co-viewing households,6288,9640,5958,30.24,0.2208,0.2936,0.7006,601,0.0214,0.004,73.7,97.7
2026-01-01,F003,Short Preview Autoplay,Discovery,Mobile,SVOD,Ad-supported explorers,6931,16306,9006,22.33,0.168,0.1624,0.6904,734,0.0162,0.0031,70.8,95.8
2026-01-01,F004,Sports Live Hub,Live,Connected TV,Ad Supported,Returning binge viewers,10578,24094,12787,44.06,0.2537,0.3475,0.7931,719,0.0097,0.0025,78.6,95.8
2026-01-01,F004,Sports Live Hub,Live,Connected TV,Ad Supported,New trial households,10758,21439,14926,19.81,0.1796,0.1939,0.7274,939,0.0085,0.0045,70.6,95.8
